#,target,auid,jd,mag,uncertainty,fainterthan,band,type,observer,airmass,transformed
3032,WASP-52,000-BLD-637,2459548.754344,12.2042,0.0049,False,Unfiltered with V Zeropoint,CCD,KADB,2.050,False
3033,WASP-52,000-BLD-637,2459548.756344,12.1929,0.0056,False,Unfiltered with V Zeropoint,CCD,KADB,2.089,False
3034,WASP-52,000-BLD-637,2459548.758344,12.2077,0.0056,False,Unfiltered with V Zeropoint,CCD,KADB,2.131,False
3035,WASP-52,000-BLD-637,2459548.763345,12.1927,0.0049,False,Unfiltered with V Zeropoint,CCD,KADB,2.243,False
3036,WASP-52,000-BLD-637,2459548.765345,12.1931,0.0063,False,Unfiltered with V Zeropoint,CCD,KADB,2.292,False
3037,WASP-52,000-BLD-637,2459548.767345,12.2139,0.0049,False,Unfiltered with V Zeropoint,CCD,KADB,2.344,False
3038,WASP-52,000-BLD-637,2459548.775346,12.2067,0.0057,False,Unfiltered with V Zeropoint,CCD,KADB,2.578,False
3039,WASP-52,000-BLD-637,2459548.777346,12.1812,0.0049,False,Unfiltered with V Zeropoint,CCD,KADB,2.644,False
3040,WASP-52,000-BLD-637,2459548.779346,12.1889,0.0056,False,Unfiltered with V Zeropoint,CCD,KADB,2.715,False
3041,WASP-52,000-BLD-637,2459548.781346,12.2078,0.0057,False,Unfiltered with V Zeropoint,CCD,KADB,2.790,False
3042,WASP-52,000-BLD-637,2459548.783346,12.2032,0.0049,False,Unfiltered with V Zeropoint,CCD,KADB,2.869,False
3043,WASP-52,000-BLD-637,2459548.786347,12.1911,0.0048,False,Unfiltered with V Zeropoint,CCD,KADB,2.998,False
3044,WASP-52,000-BLD-637,2459548.788347,12.194,0.0048,False,Unfiltered with V Zeropoint,CCD,KADB,3.090,False
3045,WASP-52,000-BLD-637,2459548.790347,12.1922,0.0056,False,Unfiltered with V Zeropoint,CCD,KADB,3.189,False
3046,WASP-52,000-BLD-637,2459548.792347,12.189,0.0054,False,Unfiltered with V Zeropoint,CCD,KADB,3.295,False
3047,WASP-52,000-BLD-637,2459548.794347,12.1803,0.0061,False,Unfiltered with V Zeropoint,CCD,KADB,3.408,False
3048,WASP-52,000-BLD-637,2459819.842351,12.202,0.0114,False,Unfiltered with V Zeropoint,CCD,KADB,1.084,False
3049,WASP-52,000-BLD-637,2459819.842591,12.2003,0.0115,False,Unfiltered with V Zeropoint,CCD,KADB,1.084,False
3050,WASP-52,000-BLD-637,2459819.845351,12.1892,0.0114,False,Unfiltered with V Zeropoint,CCD,KADB,1.084,False
